identifier,class,subclass,luminosity_class,full_class,recno,spt,effective_temperature_1,log_surface_gravity_1,metallicity_fe_h_1,visual_magnitude,effective_temperature_2,log_surface_gravity_2,metallicity_fe_h_2,radius,mass,luminosity,distance,lamost,date
19851014_J060156.02+201929.7,F,F0,,F0,9172,kA2hA8mF0,7648.0,3.992,0.382,14.48,7651.0,3.6485,0.385,3.321,1.79,34.0325,2029.55,J060156.02+201929.7,1985-10-14 20:38:00
19851014_J060319.93+203505.7,A,A5,V,A5V,9283,kA5hA7mA9,7886.0,3.888,0.167,14.718,7885.0,4.321,0.166,1.569,1.88,8.57126,1662.15,J060319.93+203505.7,1985-10-14 20:38:00
19870317_J060404.08+205715.3,A,A5,,A5,9360,kA2hA4mA7,,,,13.458,6745.0,,,26.138,,,4810.2998,J060404.08+205715.3,1987-03-17 11:22:00
19830117_J060131.19+203052.9,A,A7,V,A7V,9133,kA3hA8mA7,7534.0,4.067,-0.116,11.824,7563.0,,-0.109,10.311,,,1866.92,J060131.19+203052.9,1983-01-17 15:39:00
19900217_J060138.78+203722.0,F,F0,,F0,9143,kA8hA7mF7,6655.0,3.999,-0.136,14.598,6317.0,3.7694,,2.405,1.24,8.29552,1449.37,J060138.78+203722.0,1990-02-17 13:19:00
19850308_J060213.90+210030.5,A,A5,V,A5V,9196,kA1hA8mA9,,,,15.255,6248.0,3.9919,,1.839,1.21,4.6414,1446.05,J060213.90+210030.5,1985-03-08 11:48:00
19850107_J055727.87+201215.1,F,F0,,F0,8859,kA6hA6mA9,7182.0,4.133,-0.276,14.717,7234.0,4.3389,-0.2559,1.431,1.63,5.05349,1513.15,J055727.87+201215.1,1985-01-07 14:39:00
19830117_J055718.59+202044.8,A,A2,IV,A2IV,8838,kA1hA2mA3,,,,12.086,7877.0,3.8681,,2.643,1.88,24.22302,1369.98,J055718.59+202044.8,1983-01-17 15:01:00
19850107_J055753.73+202537.2,A,A7,II,A7II,8887,kA7hF1mF2,7226.0,4.145,0.004,14.216,7232.0,4.1611,-0.075,1.751,1.62,7.55338,1518.02,J055753.73+202537.2,1985-01-07 14:39:00
19900217_J055621.18+202914.1,F,F0,,F0,8787,kA7hF2mF2,7046.0,4.06,-0.092,14.46,6753.0,4.1061,,1.759,1.44,5.79452,1433.9,J055621.18+202914.1,1990-02-17 13:19:00
